"","Longitude","Latitude","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","Elevation"
"LANDB163B",-97.2,19.51,126,134,68,1783,222,27,195,136,101,146,101,630,135,15,71,303,48,183,60,3017
"LANDB163C",-97.2,19.51,126,134,68,1783,222,27,195,136,101,146,101,630,135,15,71,303,48,183,60,3017
"LANDB164A",-97.17,19.62,126,134,68,1783,222,27,195,136,101,146,101,630,135,15,71,303,48,183,60,2552
"LANDB164B",-97.17,19.62,126,134,68,1783,222,27,195,136,101,146,101,630,135,15,71,303,48,183,60,2552
"LANDB165A",-97.33,19.28,110,143,72,1393,208,12,196,115,101,126,90,1147,219,22,82,628,70,314,82,2514
"LANDB165B",-97.33,19.28,110,143,72,1393,208,12,196,115,101,126,90,1147,219,22,82,628,70,314,82,2514
"LANDB165C",-97.33,19.28,110,143,72,1393,208,12,196,115,101,126,90,1147,219,22,82,628,70,314,82,2514
"LANDB166A",-92.08,14.86,260,118,79,516,334,186,148,259,254,267,253,4040,695,27,74,1849,112,766,264,233
"LANDB166B",-92.08,14.86,260,118,79,516,334,186,148,259,254,267,253,4040,695,27,74,1849,112,766,264,233
"LANDB166C",-92.08,14.86,260,118,79,516,334,186,148,259,254,267,253,4040,695,27,74,1849,112,766,264,233
"LANDB167",-92.16,14.93,260,118,79,516,334,186,148,259,254,267,253,4040,695,27,74,1849,112,766,264,301
"LANDB168",-92.19,15.02,243,124,79,642,319,163,156,244,234,251,234,4103,730,29,75,1889,114,736,270,583
"LANDB169",-92.63,16.91,176,125,74,1122,258,90,168,184,165,186,159,1782,310,42,65,797,138,471,163,1561
"LANDB200",-98.76666667,18.5,247,176,68,2094,375,117,258,258,220,274,219,814,170,2,104,489,12,246,22,1034
"LANDB201",-101.1833333,20.15,177,158,64,2290,299,53,246,187,178,205,145,782,186,7,100,487,28,185,34,1828
"LANDB202",-101.051197,20.526344,192,159,64,2536,311,63,248,213,168,220,156,692,155,6,102,433,25,177,30,1729
"LANDB203",-102.3,19.98333333,177,167,64,2374,301,43,258,192,172,204,144,959,213,6,100,590,26,230,39,1568
"LANDB204",-102.310212,22.199415,171,180,64,3025,303,24,279,195,160,204,128,444,104,6,90,270,21,186,38,1930
"LANDB205",-96.809611,17.060938,191,156,69,1633,301,76,225,200,170,211,168,715,158,3,93,393,15,264,20,1626
"LANDB206",-102.06122,19.469084,171,153,66,1807,283,54,229,181,167,192,145,1375,302,5,104,878,23,292,46,1902
"LANDB207",-97.597842,19.967035,170,114,59,2391,263,71,192,187,146,196,137,2092,441,54,68,969,179,446,204,1500
"LANDB208",-99.81409,21.049644,190,162,65,2570,310,64,246,207,154,218,154,580,114,8,77,286,32,183,40,1332
"LANDB209",-96.675921,16.826141,207,155,68,1640,315,90,225,217,185,226,183,683,154,2,96,377,9,274,12,1526
"LANDB210",-107.423301,29.259947,137,189,53,5802,313,-41,354,201,101,210,62,444,114,6,103,308,22,252,41,1861
"LANDB211",-103.7373,22.394537,186,165,61,3194,315,47,268,212,172,222,141,559,150,3,106,365,16,246,44,1358
"LANDB212",-104.7833333,20.53333333,173,144,65,2007,281,60,221,189,161,194,144,1170,295,6,105,753,29,509,70,1237
"LANDB213",-91.943308,16.328624,189,137,74,1166,282,98,184,197,191,202,172,1389,245,22,73,645,89,379,116,1494
"LANDB214",-98.98333333,18.76666667,232,169,71,1632,351,116,235,240,211,253,210,884,187,3,103,527,16,265,27,1213
"LANDB215",-105.97864,28.611505,173,157,48,5857,329,5,324,230,110,243,94,394,103,4,103,264,16,225,22,1425
"LANDB216",-96.196364,17.243384,175,127,68,1495,267,82,185,180,164,193,154,1432,263,24,80,746,79,366,135,1084
"LANDB217",-102.764636,21.851035,183,180,64,2916,317,38,279,204,172,216,142,633,155,5,101,400,21,275,43,1606
"LANDB218",-101.9166667,21.36666667,182,165,63,2736,308,47,261,207,175,212,143,603,130,7,95,362,25,267,35,1873
"LANDB219",-107.8333333,28.96666667,131,194,54,5616,306,-47,353,195,126,202,59,507,132,7,101,340,27,292,61,1870
"LANDB220",-97.28339,16.233634,194,155,73,1208,294,83,211,198,177,208,176,1422,336,6,101,836,26,433,37,1512
"LANDB221",-102.45,21.16666667,186,192,64,3034,327,30,297,218,174,221,144,704,178,6,109,466,22,320,31,1781
"LANDB222",-100.9166667,21.8,180,175,65,2647,306,40,266,198,154,208,142,444,81,7,77,223,26,194,26,1842
"LANDB223",-101.9,20.73,199,159,61,2645,326,68,258,220,195,230,162,745,181,3,107,491,16,185,26,1720
"LANDB224",-103.4166667,20.28333333,182,151,62,2288,301,60,241,203,175,208,149,760,185,7,102,480,22,367,34,1530
"LANDB225",-97.03333333,19.08333333,163,128,68,1741,254,67,187,175,147,182,138,1786,319,43,76,906,132,498,155,1486
"LANDB226",-98.519476,18.554474,235,174,71,1896,356,111,245,246,209,258,209,778,173,3,101,456,15,251,24,1202
"LANDB227",-107.5666667,28.93333333,129,192,54,5610,304,-49,353,191,124,200,56,503,135,7,107,348,26,289,56,1953
"LANDB228",-104.6666667,24.51666667,177,172,61,3612,315,37,278,206,162,218,127,530,136,3,110,376,13,214,30,1928
"LANDB229",-103.3333333,20.66666667,198,168,63,2491,330,65,265,220,192,226,163,911,233,5,112,620,21,436,35,1563
"LANDB230",-72.619485,-12.780901,200,153,80,705,293,102,191,198,191,208,191,1352,207,25,60,609,100,418,100,1112
"LANDB231",-79.675427,-3.675761,229,114,91,186,294,169,125,228,229,231,227,1433,288,7,90,806,34,96,137,1236
"LANDB232",-71.881796,-16.708073,187,137,81,1181,268,100,168,201,192,201,170,2,1,0,37,2,0,2,0,1248
"LANDB233",-79.017814,-5.144631,218,120,88,355,288,153,135,217,214,222,213,1134,193,32,55,499,108,227,122,1501
"LANDB234",-68.317686,-15.312489,224,97,70,1289,289,152,137,235,205,236,205,1431,212,32,54,625,128,565,138,1006
"LANDB235",-63.949143,-19.802454,208,125,61,2625,299,95,204,234,170,235,170,927,207,8,91,551,31,400,42,1185
"LANDB236",-67.449406,-16.300228,184,130,74,1120,264,89,175,192,168,194,167,1279,209,22,63,610,85,411,99,1681
"LANDB237",-64.76701,-17.950849,168,141,69,1836,258,56,202,187,143,187,142,661,126,10,81,366,35,366,38,1800
"LANDB238",-77.237115,-5.930553,230,85,69,572,290,167,123,230,224,236,224,1478,171,79,23,452,250,422,250,1000
"LANDB239",-63.875506,-18.197621,188,121,69,1783,266,93,173,206,163,206,162,638,117,9,74,337,37,337,41,1676
"LANDB240",-64.090414,-18.4902,174,120,69,1769,252,80,172,193,148,193,148,640,121,10,76,341,36,341,36,1978
"LANDB241",-64.45,-22.03333333,196,144,56,3585,306,51,255,236,163,236,144,914,174,4,86,504,18,504,24,1104
"LANDB242",-64.688876,-22.278901,160,167,60,3653,278,1,277,198,107,198,107,573,123,1,97,349,8,349,8,1548
"LANDB243",-78.25,-6.633333333,123,135,84,547,198,38,160,126,114,128,114,1053,151,32,44,380,101,322,101,1730
"LANDB244",-63.836848,-18.478497,164,122,70,1776,243,70,173,183,138,183,138,725,135,9,76,381,39,381,39,1846
"LANDB245",-75.4,-10.56666667,170,146,81,761,250,71,179,174,158,177,158,1161,174,26,54,496,93,357,93,1858
"LANDB246",-76.256765,4.754947,185,99,92,243,240,133,107,181,186,186,181,2289,297,127,27,759,442,529,759,1500
"LANDB247",-79.430915,-5.32969,150,124,89,287,220,81,139,151,145,152,145,877,145,35,45,365,114,351,114,1978
"LANDB248",-64.083629,-20.266687,199,133,60,2794,295,76,219,228,159,228,159,804,155,7,84,451,28,451,28,1244
"LANDB249",-78.742855,0.084835,183,104,87,231,241,122,119,185,181,186,180,2272,354,61,54,987,236,925,418,1563
"LANDB250",-68.591021,-14.650366,193,96,72,1142,256,123,133,200,177,204,175,1539,239,30,57,681,119,504,124,1920
"LANDB251",-79.220175,-4.258166,188,124,88,316,260,120,140,189,183,191,183,963,182,21,62,462,76,219,76,1550
"LANDB252",-65.255424,-24.216859,170,132,55,3638,276,36,240,211,136,211,120,827,188,7,97,501,23,501,26,1180
"LANDB253",-64.7,-21.4,169,167,62,3205,281,14,267,203,125,203,122,556,122,1,97,344,7,344,7,1890
"LANDB254",-78.42646,-1.399065,132,107,82,647,201,71,130,126,137,137,122,1011,133,49,28,346,166,194,333,1837
"LANDB259",-98.523863,19.268596,110,154,71,1482,213,-1,214,120,89,126,89,953,181,10,87,525,30,310,38,2438
"LANDB260",-97.33333333,19.28333333,110,143,72,1393,208,12,196,115,101,126,90,1147,219,22,82,628,70,314,82,2514
"LANDB261A",-99.570871,19.286184,137,150,68,1781,238,19,219,151,111,156,111,854,177,6,90,494,30,248,30,2597
"LANDB262",-99.670425,19.299615,122,141,69,1493,218,16,202,129,101,139,101,903,177,12,83,490,47,261,47,2781
"LANDB263",-99.546269,19.258453,137,150,68,1781,238,19,219,151,111,156,111,854,177,6,90,494,30,248,30,2585
"LANDB264",-75.231622,-12.144625,111,147,76,935,194,2,192,116,97,120,97,596,113,5,75,313,21,176,21,3188
"LANDB265",-75.23009,-12.142229,111,147,76,935,194,2,192,116,97,120,97,596,113,5,75,313,21,176,21,3188
"LANDB266",-75.26666667,-12.11666667,111,147,76,935,194,2,192,116,97,120,97,596,113,5,75,313,21,176,21,3241
"LANDB267",-74.873418,-12.284165,107,150,77,898,193,-1,194,112,93,116,93,722,123,10,64,346,44,216,44,2418
"LANDB268",-74.112672,-13.192147,112,161,76,1032,210,-1,211,117,95,122,95,848,163,9,80,478,40,219,40,3075
"LANDB269",-66.36666667,18.08333333,244,104,75,1202,309,171,138,256,228,257,228,1337,216,39,50,577,132,380,132,230
"LANDB270",-76.38333333,20.73333333,259,110,67,1736,339,175,164,275,235,280,235,963,160,15,62,379,60,325,60,62
"LANDB271",-74.264148,18.55853,248,90,70,1006,308,181,127,250,237,260,234,1804,261,63,37,588,232,446,306,167
"LANDB272",-70.928539,19.736877,249,114,72,1583,328,171,157,245,266,267,227,1407,196,50,37,522,200,209,409,162
"LANDB273",-66.399305,18.059362,244,104,75,1202,309,171,138,256,228,257,228,1337,216,39,50,577,132,380,132,160
"LANDB274",-64.706515,17.718069,262,70,70,1101,310,210,100,268,247,274,247,1103,145,43,38,421,150,249,150,31
"LANDB275",-76.61666667,21.2,262,97,63,1781,336,184,152,269,240,284,237,940,151,34,51,379,103,244,111,11
"LANDB276",-83.73333333,22.41666667,248,98,62,2117,320,164,156,270,217,271,217,1427,226,39,57,573,138,563,138,79
"LANDB277",-76.25,20.9,256,97,64,1715,330,179,151,262,234,277,232,1035,155,26,53,376,97,295,109,150
"LANDB278",-75.729414,20.676748,261,97,64,1764,335,184,151,268,239,282,237,1241,183,45,42,431,159,315,173,20
"LANDB279",-61.63,12.2,265,78,80,570,311,214,97,269,260,270,256,1977,248,63,41,680,212,651,263,63
"LANDB280",-74.267982,18.563505,248,90,70,1006,308,181,127,250,237,260,234,1804,261,63,37,588,232,446,306,154
"LANDB281",-70.013422,19.646842,253,92,73,1309,316,190,126,250,237,267,235,1737,253,95,31,593,321,389,405,240
"LANDB282",-51.866667,-23.916667,209,123,60,2900,302,100,202,242,182,242,169,1490,202,68,36,535,249,535,294,339
"LANDB283",-51.866667,-23.916667,209,123,60,2900,302,100,202,242,182,242,169,1490,202,68,36,535,249,535,294,337
"LANDB284",-39.26666667,-11.55,227,99,70,1541,300,159,141,240,217,243,204,576,69,20,33,192,73,176,113,392
"LANDB285",-36.6,-10.28333333,252,88,67,1539,320,189,131,248,264,268,230,1176,215,32,65,576,104,189,416,9
"LANDB286",-38.693975,-3.81233,259,73,79,550,302,210,92,257,262,265,251,1270,289,9,94,765,33,151,169,43
"LANDB287",-38.693975,-3.81233,259,73,79,550,302,210,92,257,262,265,251,1270,289,9,94,765,33,151,169,43
"LANDB288",-76.43333333,20.38333333,256,112,67,1683,337,170,167,269,232,276,232,1162,193,20,59,474,71,403,71,107
"LANDB289",-76.21666667,20.3,249,108,67,1637,328,167,161,262,226,269,226,1297,210,28,54,522,99,428,99,102
"LANDB290",-61.748698,12.030311,260,78,79,605,307,209,98,264,255,265,251,1991,258,62,41,688,217,647,269,71
"LANDB291",-61.350975,16.319743,255,79,71,1137,305,194,111,264,238,266,238,1612,216,57,36,582,210,445,210,20
"LANDB292",-61.581424,16.262387,255,80,70,1200,306,193,113,265,237,267,237,1863,251,62,40,705,224,521,224,21
"LANDB293",-72.678269,19.663248,232,97,74,967,294,164,130,241,221,242,217,1328,192,28,56,518,98,484,100,198
"LANDB294",-72.500407,19.565256,237,96,73,1107,298,167,131,246,223,248,220,1426,204,39,49,527,128,474,142,613
"LANDB295",-70.5,19.18333333,260,100,69,1499,330,187,143,270,241,277,238,1400,193,75,26,422,233,366,281,196
"LANDB296",-70.021015,19.197019,255,101,72,1418,322,183,139,266,237,269,234,1646,195,85,26,499,257,460,324,65
"LANDB297",-69.952097,19.663433,253,89,72,1222,313,191,122,250,237,266,236,1694,248,91,31,585,298,362,381,128
"LANDB298",-70.874286,19.743912,249,114,72,1583,328,171,157,245,266,267,227,1407,196,50,37,522,200,209,409,177
"LANDB299",-64.706515,17.718069,262,70,70,1101,310,210,100,268,247,274,247,1103,145,43,38,421,150,249,150,31
"LANDB300",-61.221184,13.161853,263,78,78,798,311,211,100,267,256,270,252,2205,287,82,40,778,261,738,277,89
"LANDB301",-61.464321,10.209325,261,85,80,648,311,205,106,264,256,266,251,1654,233,45,47,647,152,566,177,3
"LANDB302",-61.26624,10.548746,258,88,79,641,312,201,111,261,254,264,249,2233,299,66,48,857,207,458,371,23
"LANDB303",-61.249153,10.502186,258,88,79,641,312,201,111,261,254,264,249,2233,299,66,48,857,207,458,371,52
"LANDB304",-61.4,10.28333333,261,85,80,648,311,205,106,264,256,266,251,1654,233,45,47,647,152,566,177,43
"LANDB305",-46.93333333,-22.45,200,120,64,2250,278,93,185,223,168,223,168,1370,253,22,71,695,88,644,88,626
"LANDB306",-48.3,-24,183,104,55,2788,270,83,187,216,146,216,146,1293,199,47,46,531,167,531,167,698
"LANDB307",-55.32512,5.456466,264,83,76,654,325,217,108,261,273,273,256,2219,302,97,36,830,315,315,503,11
"LANDB308",-54.3,-27.616667,203,124,55,3466,317,95,222,171,172,245,158,1749,181,123,11,470,392,430,437,290
"LANDB309",-53.340291,-31.494769,175,106,50,3482,289,81,208,142,212,217,132,1345,132,83,12,385,285,342,372,399
"LANDB310",-54.009359,-28.263266,200,118,54,3467,313,95,218,205,241,243,156,1795,184,132,10,483,418,431,454,310
"LANDB311",-54.16666667,-29.33333333,187,113,52,3603,300,84,216,189,224,232,142,1794,168,136,7,469,426,426,443,322
"LANDB312",-54.283493,-28.365057,201,118,53,3536,315,94,221,206,243,244,156,1816,184,135,9,487,423,434,458,250
"LANDB313",-54.283493,-28.365057,201,118,53,3536,315,94,221,206,243,244,156,1816,184,135,9,487,423,434,458,274
"LANDB314",-54.16666667,-29.33333333,187,113,52,3603,300,84,216,189,224,232,142,1794,168,136,7,469,426,426,443,274
"LANDB315",-54.16666667,-29.33333333,187,113,52,3603,300,84,216,189,224,232,142,1794,168,136,7,469,426,426,443,274
"LANDB316",-54.333333,-28.033333,197,121,55,3450,310,90,220,166,237,239,152,1834,188,135,10,495,426,437,466,412
"LANDB317",-51.127617,-20.62891,229,126,65,2287,309,117,192,252,197,252,196,1210,212,19,64,579,82,579,118,353
"LANDB318",-51.483333,-21.533333,222,124,63,2550,305,111,194,249,199,249,186,1183,193,28,54,523,104,523,156,373
"LANDB319",-45.88333333,-23.4,181,96,58,2254,255,91,164,208,151,209,151,1432,229,35,57,647,132,616,132,666
"LANDB320",-47.959266,-23.076071,203,115,62,2374,285,101,184,229,170,229,170,1181,210,26,64,571,94,520,94,515
"LANDB322",-49.519177,-23.397216,208,123,62,2579,297,101,196,237,186,237,171,1311,181,38,46,526,154,526,182,534
"LANDB323",-47.937215,-22.537739,206,116,62,2389,287,102,185,232,172,232,172,1288,243,26,68,644,91,594,91,632
"LANDB324",-48.766667,-21.583333,219,123,66,2124,298,113,185,241,190,241,188,1272,245,18,73,652,72,612,94,552
"LANDB325",-49.519177,-23.397216,208,123,62,2579,297,101,196,237,186,237,171,1311,181,38,46,526,154,526,182,534
"LANDB326",-50.83333333,-21.78333333,217,126,64,2546,302,106,196,245,183,245,181,1235,199,26,59,564,103,564,142,455
"LANDB327",-47.71666667,-23.11666667,204,114,62,2349,285,102,183,230,171,230,171,1162,211,27,65,568,93,513,93,505
"LANDB328",-45.46666667,-22.91666667,199,112,61,2275,278,95,183,224,167,225,167,1372,241,20,68,668,87,628,87,539
"LANDB329",-47.241578,-23.088964,196,112,62,2359,276,96,180,222,163,222,163,1259,216,28,61,595,110,546,110,615
"LANDB330",-50.202062,-22.437175,206,127,64,2560,294,96,198,235,172,235,170,1247,206,33,53,554,139,554,166,687
"LANDB331",-45.88333333,-23.18333333,191,100,59,2271,266,98,168,217,160,218,160,1273,221,25,63,610,99,574,99,594
"LANDB332",-39.1086,-12.651497,233,75,63,1506,294,176,118,218,221,249,212,1100,135,52,29,375,193,225,328,201
"LANDB333",-81.507393,22.971991,247,104,64,2007,324,163,161,269,218,269,218,1389,213,35,61,586,117,586,117,99
"LANDB334",-49.005651,-28.515684,195,92,50,2979,285,103,182,234,163,234,158,1415,167,82,22,464,264,464,279,2
"LANDB335",-42.71666667,-20.7,200,121,63,2128,288,97,191,219,172,225,171,1267,244,19,74,661,64,492,77,685
"LANDB336",-49.31666667,-28.51666667,193,104,53,3011,289,93,196,232,160,232,155,1413,172,79,25,482,255,482,269,50
"LANDB337",-49.38333333,-20.8,227,127,68,1958,303,117,186,244,199,244,197,1266,237,14,73,653,67,653,96,514
"LANDB338",-46.93333333,-22.45,200,120,64,2250,278,93,185,223,168,223,168,1370,253,22,71,695,88,644,88,626
"LANDB339",-46.852271,-22.437301,200,120,64,2250,278,93,185,223,168,223,168,1370,253,22,71,695,88,644,88,660
"LANDB340",-64.706515,17.718069,262,70,70,1101,310,210,100,268,247,274,247,1103,145,43,38,421,150,249,150,31
"LANDB341",-49.457185,-28.920044,192,99,51,2996,284,93,191,231,158,231,154,1309,148,81,19,412,256,412,278,9
"LANDB342",-76.463107,20.862895,256,105,66,1713,333,175,158,272,235,277,232,1036,157,24,58,397,85,330,88,118
"LANDB343",-49.65,-27.21666667,182,102,53,3022,279,89,190,219,145,219,143,1553,180,89,21,489,293,489,319,345
"LANDB344",-53.998021,-28.527081,195,115,53,3456,307,91,216,167,237,239,152,1777,182,132,10,477,414,426,430,391
"LANDB345",-49.825724,-22.232837,203,127,64,2492,291,94,197,231,170,231,168,1293,214,31,60,614,124,614,151,625
"LANDB346",-58.13333333,-32.68333333,181,120,47,4729,321,66,255,239,128,243,122,1103,128,63,22,342,203,292,214,8
"LANDB347",-49.21666667,-20.93333333,225,126,68,1943,300,117,183,243,198,243,195,1281,235,15,73,654,68,654,96,547
"LANDB348",-51.866667,-23.916667,209,123,60,2900,302,100,202,242,182,242,169,1490,202,68,36,535,249,535,294,339
"LANDB349",-53.890233,-29.674475,195,107,50,3556,306,95,211,161,232,238,150,1659,152,129,5,431,399,401,420,105
"LANDB350",-54.3,-27.616667,203,124,55,3466,317,95,222,171,172,245,158,1749,181,123,11,470,392,430,437,290
"LANDB351",-50.622391,-29.099481,157,98,53,2878,251,69,182,141,170,193,121,1995,194,136,9,539,469,531,501,880
"LANDB352",-54.33333333,-28.03333333,197,121,55,3450,310,90,220,166,237,239,152,1834,188,135,10,495,426,437,466,418
"LANDB353",-53.960459,-27.580314,195,122,56,3325,307,91,216,205,167,235,152,1810,183,130,10,486,421,444,456,424
"LANDB354",-54.009359,-28.263266,200,118,54,3467,313,95,218,205,241,243,156,1795,184,132,10,483,418,431,454,310
"LANDB355",-48.806462,-22.625913,205,125,65,2346,291,100,191,232,174,232,173,1267,228,26,63,616,108,616,127,611
"LANDB356",-47.210516,-22.612407,201,118,64,2362,280,96,184,226,168,226,168,1282,238,23,70,646,87,594,87,600
"LANDB357",-47.9,-22.01666667,197,109,64,2066,273,104,169,219,169,220,168,1398,254,25,69,694,89,621,113,826
"LANDB358",-50.5,-21.93333333,213,127,64,2560,300,102,198,241,179,241,176,1216,199,25,58,564,107,564,144,499
"LANDB359",-49.75,-21.66666667,214,127,64,2476,300,103,197,241,181,241,179,1233,210,25,62,590,103,590,137,443
"LANDB360",-39.21666667,-12.43333333,233,77,63,1537,295,174,121,228,221,250,211,790,86,34,24,244,129,187,211,208
"LANDB361A",-49.75,-25.8,167,115,57,2991,263,62,201,203,128,203,128,1327,159,70,25,443,259,443,265,921
"LANDB361B",-49.75,-25.8,167,115,57,2991,263,62,201,203,128,203,128,1327,159,70,25,443,259,443,265,921
"LANDB361C",-49.75,-25.8,167,115,57,2991,263,62,201,203,128,203,128,1327,159,70,25,443,259,443,265,921
"LANDB362",-53.88333333,-28.36666667,198,116,53,3445,310,93,217,201,239,241,155,1776,183,130,11,478,413,427,450,309
"LANDB363A",-49.005651,-28.515684,195,92,50,2979,285,103,182,234,163,234,158,1415,167,82,22,464,264,464,279,2
"LANDB363B",-49.005651,-28.515684,195,92,50,2979,285,103,182,234,163,234,158,1415,167,82,22,464,264,464,279,2
"LANDB363C",-49.005651,-28.515684,195,92,50,2979,285,103,182,234,163,234,158,1415,167,82,22,464,264,464,279,2
"LANDB364",-72.453725,7.827287,217,109,86,465,279,153,126,219,212,221,209,1149,149,42,36,391,136,336,178,401
"LANDB365",-67.465871,9.411944,271,112,73,815,350,198,152,264,273,284,264,1184,217,2,80,614,15,223,533,126
"LANDB366A",-58.255224,-33.494989,171,114,46,4545,303,59,244,195,113,231,113,913,98,54,19,264,169,256,169,18
"LANDB366B",-58.255224,-33.494989,171,114,46,4545,303,59,244,195,113,231,113,913,98,54,19,264,169,256,169,18
"LANDB366C",-58.255224,-33.494989,171,114,46,4545,303,59,244,195,113,231,113,913,98,54,19,264,169,256,169,18
"LANDB367",-72.360865,8.291141,278,108,83,555,343,214,129,280,271,283,269,2552,325,127,32,879,440,576,500,59
"LANDB368A",-70.556081,8.267071,277,99,78,323,341,215,126,277,277,281,274,1648,270,9,64,729,58,379,205,153
"LANDB368B",-70.556081,8.267071,277,99,78,323,341,215,126,277,277,281,274,1648,270,9,64,729,58,379,205,153
"LANDB368C",-70.556081,8.267071,277,99,78,323,341,215,126,277,277,281,274,1648,270,9,64,729,58,379,205,153
"LANDB369",-68.012668,10.464608,252,95,83,495,305,191,114,252,247,257,244,1142,146,23,41,416,109,308,175,9
"LANDB370",-70.306586,7.488302,273,92,70,570,345,214,131,266,278,281,266,1858,316,7,71,863,50,174,863,110
"LANDB371A",-69.691145,10.568005,242,99,79,704,303,178,125,247,233,250,232,505,89,7,56,215,26,187,50,270
"LANDB371B",-69.691145,10.568005,242,99,79,704,303,178,125,247,233,250,232,505,89,7,56,215,26,187,50,270
"LANDB371C",-69.691145,10.568005,242,99,79,704,303,178,125,247,233,250,232,505,89,7,56,215,26,187,50,270
"LANDB372",-68.158666,9.658501,267,112,73,648,347,194,153,261,268,277,261,1334,236,6,75,671,20,251,671,153
"LANDB373A",-70.639142,19.38583,250,103,70,1524,322,176,146,245,230,267,228,1211,168,65,30,373,209,271,248,197
"LANDB373B",-70.639142,19.38583,250,103,70,1524,322,176,146,245,230,267,228,1211,168,65,30,373,209,271,248,197
"LANDB373C",-70.639142,19.38583,250,103,70,1524,322,176,146,245,230,267,228,1211,168,65,30,373,209,271,248,197
"LANDB374A",-70.74942,19.437646,252,109,70,1573,329,175,154,257,232,270,229,1072,174,55,37,354,175,229,195,223
"LANDB374B",-70.74942,19.437646,252,109,70,1573,329,175,154,257,232,270,229,1072,174,55,37,354,175,229,195,223
"LANDB374C",-70.74942,19.437646,252,109,70,1573,329,175,154,257,232,270,229,1072,174,55,37,354,175,229,195,223
"LANDB375A",-68.7,18.61,262,93,72,1279,325,196,129,268,245,276,244,1321,173,59,32,432,188,383,217,86
"LANDB375B",-68.7,18.61,262,93,72,1279,325,196,129,268,245,276,244,1321,173,59,32,432,188,383,217,86
"LANDB375C",-68.7,18.61,262,93,72,1279,325,196,129,268,245,276,244,1321,173,59,32,432,188,383,217,86
"LANDB376",-43.24,-15.79,235,123,71,1485,312,140,172,244,212,247,212,830,192,0,95,501,1,339,1,678
"LANDB377",-35.96666667,-8.283333333,216,91,71,1336,284,156,128,201,223,230,196,599,89,10,60,253,42,153,216,537
"LANDB378A",-70.462042,9.426424,215,104,83,419,273,149,124,213,212,218,208,953,120,35,37,328,124,301,202,627
"LANDB378B",-70.462042,9.426424,215,104,83,419,273,149,124,213,212,218,208,953,120,35,37,328,124,301,202,627
"LANDB378C",-70.462042,9.426424,215,104,83,419,273,149,124,213,212,218,208,953,120,35,37,328,124,301,202,627
"LANDB379",-64.25,8.916666667,261,110,80,562,332,195,137,258,258,268,255,1048,188,5,76,546,35,122,60,282
"LANDB380",-67.043056,9.379051,271,114,76,794,349,199,150,265,273,284,264,1117,207,3,81,595,13,201,510,146
"LANDB381A",-66.76666667,10.11666667,242,109,78,757,308,170,138,244,241,250,230,1286,239,18,69,654,77,386,131,195
"LANDB381B",-66.76666667,10.11666667,242,109,78,757,308,170,138,244,241,250,230,1286,239,18,69,654,77,386,131,195
"LANDB381C",-66.76666667,10.11666667,242,109,78,757,308,170,138,244,241,250,230,1286,239,18,69,654,77,386,131,195
"LANDB382",-38.48333333,-11.23333333,242,103,71,1500,316,172,144,246,242,258,220,737,105,31,39,283,108,184,211,153
"LANDB383",-38.18333333,-10.7,236,99,69,1608,310,167,143,231,236,253,213,725,106,24,43,285,92,168,217,257
"LANDB384",-38.3,-7.983333333,231,100,68,1578,305,160,145,241,225,247,207,749,176,7,85,434,28,167,70,420
"LANDB385A",-37.1,-6.45,267,96,76,1016,334,209,125,273,262,278,252,699,194,2,109,482,10,198,56,152
"LANDB385B",-37.1,-6.45,267,96,76,1016,334,209,125,273,262,278,252,699,194,2,109,482,10,198,56,152
"LANDB385C",-37.1,-6.45,267,96,76,1016,334,209,125,273,262,278,252,699,194,2,109,482,10,198,56,152
"LANDB386",-39.41666667,-17.83333333,244,77,63,1386,306,184,122,249,225,261,225,1412,177,80,23,463,296,315,296,7
"LANDB387",-38.48333333,-11.23333333,242,103,71,1500,316,172,144,246,242,258,220,737,105,31,39,283,108,184,211,153
"LANDB388",-82.5,22.88333333,244,101,63,2148,320,160,160,267,214,268,214,1539,251,36,60,650,142,638,142,51
"LANDB389",-80.849089,22.939293,251,111,65,2051,331,161,170,269,222,274,222,1461,243,30,65,625,109,585,109,21
"LANDB390A",-81.565307,23.012475,251,95,62,2018,325,173,152,268,227,274,222,1446,234,41,57,593,141,526,144,77
"LANDB390B",-81.565307,23.012475,251,95,62,2018,325,173,152,268,227,274,222,1446,234,41,57,593,141,526,144,77
"LANDB390C",-81.565307,23.012475,251,95,62,2018,325,173,152,268,227,274,222,1446,234,41,57,593,141,526,144,77
"LANDB391",-74.267982,18.563505,248,90,70,1006,308,181,127,250,237,260,234,1804,261,63,37,588,232,446,306,154
"LANDB392",-70.777325,19.443545,252,109,70,1573,329,175,154,257,232,270,229,1072,174,55,37,354,175,229,195,177
"LANDB393A",-38.35,-11.36666667,237,97,69,1486,309,170,139,242,227,253,216,582,92,20,45,241,82,181,144,153
"LANDB393B",-38.35,-11.36666667,237,97,69,1486,309,170,139,242,227,253,216,582,92,20,45,241,82,181,144,153
"LANDB393C",-38.35,-11.36666667,237,97,69,1486,309,170,139,242,227,253,216,582,92,20,45,241,82,181,144,153
"LANDB394",-53.5,-1.75,271,87,82,608,330,225,105,265,279,279,265,1738,289,29,62,805,106,106,604,22
